Date,Open,High,Low,Close,Volume
1999-07-21,345.0,363.0,345.0,360.85,522.0
1999-07-22,360.0,360.0,353.5,354.0,409.0
1999-07-23,352.0,355.8,350.25,354.0,500.0
1999-07-26,350.0,351.0,340.0,340.0,581.0
1999-07-27,333.35,337.35,319.5,323.0,902.0
1999-07-28,330.0,334.7,324.0,328.5,858.0
1999-07-29,329.0,329.0,317.15,318.5,784.0
1999-07-30,310.0,328.0,308.5,326.1,1000.0
1999-07-31,323.0,327.0,316.0,316.0,750.0
1999-08-02,318.4,319.8,310.0,312.8,928.0
1999-08-03,307.5,316.2,297.6,313.7,1258.0
1999-08-04,314.1,317.25,306.0,306.0,932.0
1999-08-05,302.0,307.5,300.0,304.75,1043.0
1999-08-06,306.5,310.0,303.0,303.4,1159.0
1999-08-07,305.0,320.0,305.0,317.0,1459.0
1999-08-09,319.0,319.5,314.0,315.4,818.0
1999-08-10,315.6,332.9,314.6,332.0,1451.0
1999-08-11,330.0,337.8,328.5,332.05,1131.0
1999-08-12,337.0,345.0,333.1,334.9,1123.0
1999-08-13,350.0,355.0,342.0,348.6,1171.0
1999-08-16,353.0,373.0,352.0,372.9,1030.0
1999-08-17,368.6,373.0,361.95,370.1,392.0
1999-08-18,370.1,372.0,361.0,362.45,164.0
1999-08-19,360.0,368.9,358.0,367.1,895.0
1999-08-20,367.95,379.2,367.3,377.5,865.0
1999-08-21,383.3,387.0,372.0,372.0,1202.0
1999-08-23,373.0,373.9,368.0,373.8,729.0
1999-08-24,378.4,379.5,363.5,363.6,948.0
1999-08-25,364.0,377.0,363.6,376.0,1044.0
1999-08-26,378.0,378.9,369.0,372.2,961.0
1999-08-27,370.45,373.5,368.9,372.8,594.0
1999-08-30,370.05,378.0,370.0,373.5,520.0
1999-08-31,373.0,380.0,371.05,379.5,687.0
1999-09-01,384.2,392.5,384.0,390.0,879.0
1999-09-02,392.9,393.5,386.2,388.0,677.0
1999-09-03,386.0,387.0,380.05,380.05,632.0
1999-09-04,388.0,389.0,378.6,382.0,667.0
1999-09-06,382.5,387.0,378.1,387.0,549.0
1999-09-07,387.0,388.0,372.0,373.0,648.0
1999-09-08,375.0,378.0,369.1,377.5,854.0
1999-09-09,374.0,378.5,372.0,376.5,512.0
1999-09-10,378.2,382.0,378.2,380.5,493.0
1999-09-13,379.95,382.8,377.0,380.7,286.0
1999-09-14,378.0,379.0,375.2,377.5,286.0
1999-09-15,377.45,377.45,371.0,371.3,304.0
1999-09-16,365.8,369.9,365.1,368.55,467.0
1999-09-17,369.5,372.1,365.2,366.2,394.0
1999-09-18,369.4,373.0,368.0,372.35,357.0
1999-09-20,371.8,371.8,368.35,371.4,227.0
1999-09-27,358.45,358.45,358.45,358.45,6.0
1999-09-28,345.95,345.95,345.95,345.95,163.0
1999-09-29,347.0,358.5,346.2,357.5,737.0
1999-09-30,354.3,358.85,353.5,353.6,479.0
1999-10-01,356.8,357.8,352.0,355.95,292.0
1999-10-02,355.0,355.8,345.6,348.5,437.0
1999-10-04,347.0,352.0,342.5,349.0,421.0
1999-10-05,352.0,353.0,343.6,344.5,363.0
1999-10-06,346.0,348.3,343.0,347.6,427.0
1999-10-07,352.0,352.9,349.2,351.75,352.0
1999-10-08,351.0,352.0,347.8,348.8,204.0
1999-10-11,348.8,354.5,348.8,354.5,312.0
1999-10-12,355.2,372.0,355.2,370.7,760.0
1999-10-13,368.2,371.0,366.8,371.0,406.0
