Date,Open,High,Low,Close,Volume
1999-07-21,1130.0,1140.0,1121.0,1134.8,91.0
1999-07-22,1128.0,1131.0,1120.2,1120.2,37.0
1999-07-23,1123.6,1129.4,1116.2,1129.4,64.0
1999-07-26,1128.0,1128.0,1113.8,1113.8,69.0
1999-07-27,1113.0,1117.8,1100.0,1107.0,124.0
1999-07-28,1115.0,1124.6,1114.0,1120.4,86.0
1999-07-29,1122.4,1123.6,1109.0,1110.0,66.0
1999-07-30,1107.0,1130.0,1105.0,1130.0,114.0
1999-07-31,1125.8,1130.0,1106.0,1106.0,84.0
1999-08-02,1109.8,1111.0,1082.0,1085.0,106.0
1999-08-03,1073.0,1083.0,1045.0,1079.0,90.0
1999-08-04,1079.0,1086.0,1050.0,1051.0,60.0
1999-08-05,1041.0,1041.0,1007.2,1007.2,199.0
1999-08-06,1007.2,1017.0,955.0,972.2,143.0
1999-08-07,965.0,1006.0,965.0,1003.0,173.0
1999-08-09,1003.0,1004.0,983.6,986.0,86.0
1999-08-10,986.0,1039.0,986.0,1039.0,147.0
1999-08-11,1034.0,1035.0,1015.0,1015.2,116.0
1999-08-12,1018.0,1046.8,1018.0,1033.0,146.0
1999-08-13,1099.2,1104.8,1060.0,1104.0,176.0
1999-08-16,1120.0,1181.2,1118.2,1181.2,226.0
1999-08-17,1170.4,1179.0,1139.0,1170.0,149.0
1999-08-18,1180.2,1180.2,1141.0,1151.0,88.0
1999-08-19,1160.0,1170.0,1151.0,1170.0,133.0
1999-08-20,1158.0,1181.0,1154.0,1175.0,130.0
1999-08-21,1192.0,1255.0,1188.0,1214.0,265.0
1999-08-23,1214.0,1220.0,1186.0,1204.8,148.0
1999-08-24,1217.0,1220.0,1126.2,1126.2,229.0
1999-08-25,1135.0,1188.0,1135.0,1173.0,217.0
1999-08-26,1180.0,1207.8,1155.0,1170.0,234.0
1999-08-27,1162.0,1170.0,1145.2,1160.0,104.0
1999-08-30,1152.0,1175.0,1146.2,1160.0,109.0
1999-08-31,1153.0,1170.0,1152.0,1165.0,107.0
1999-09-01,1173.2,1193.0,1170.0,1193.0,229.0
1999-09-02,1199.0,1207.6,1170.0,1173.2,175.0
1999-09-03,1162.4,1168.0,1130.0,1130.0,145.0
1999-09-04,1142.0,1150.0,1110.2,1119.0,130.0
1999-09-06,1119.0,1130.0,1112.0,1130.0,78.0
1999-09-07,1130.0,1130.0,1078.0,1095.0,123.0
1999-09-08,1093.2,1120.0,1088.0,1092.0,120.0
1999-09-09,1082.0,1110.0,1082.0,1106.0,118.0
1999-09-10,1106.0,1141.0,1106.0,1139.8,208.0
1999-09-13,1139.8,1139.8,1117.0,1124.0,60.0
1999-09-14,1124.0,1124.0,1105.2,1115.0,66.0
1999-09-15,1115.0,1117.8,1050.0,1089.0,85.0
1999-09-16,1090.0,1112.0,1090.0,1109.0,55.0
1999-09-17,1115.0,1119.8,1101.0,1105.0,26.0
1999-09-18,1115.0,1118.4,1106.6,1111.0,22.0
1999-09-20,1114.0,1114.0,1100.0,1111.0,20.0
1999-09-27,1072.2,1072.2,1072.2,1072.2,4.0
1999-09-28,1034.8,1034.8,1034.8,1034.8,2.0
1999-09-29,998.6,1009.8,998.6,1002.0,208.0
1999-09-30,1003.0,1006.8,981.2,984.6,216.0
1999-10-01,992.0,1004.0,992.0,1001.0,164.0
1999-10-02,1001.0,1003.0,980.0,992.8,166.0
1999-10-04,992.0,992.0,978.2,985.2,46.0
1999-10-05,989.8,990.0,953.6,956.0,74.0
1999-10-06,949.2,950.6,941.4,950.6,114.0
1999-10-07,956.0,976.0,956.0,967.8,122.0
1999-10-08,963.0,963.0,945.4,952.0,77.0
1999-10-11,955.0,967.0,950.0,960.0,55.0
1999-10-12,961.0,985.0,961.0,984.8,152.0
1999-10-13,982.0,990.0,975.0,980.0,86.0
1999-10-14,973.0,990.0,973.0,984.6,75.0
1999-10-15,985.0,992.8,977.2,980.2,58.0
1999-10-16,984.8,1008.0,972.4,998.0,153.0
1999-10-18,983.0,984.0,968.2,973.8,69.0
1999-10-19,970.2,975.0,962.0,964.0,26.0
1999-10-20,970.0,977.0,959.2,968.6,115.0
1999-10-21,990.0,998.0,986.0,988.0,89.0
1999-10-22,986.4,988.0,970.0,976.0,97.0
1999-10-25,980.0,1005.0,977.0,1004.0,156.0
1999-10-26,1000.0,1019.0,997.0,1005.0,184.0
1999-10-27,1003.0,1014.0,1000.0,1006.6,93.0
1999-10-28,1008.6,1008.6,1000.0,1000.0,64.0
1999-10-29,1009.6,1010.0,997.0,1003.6,98.0
1999-10-30,1006.0,1024.0,1004.0,1024.0,166.0
1999-11-01,1018.0,1018.0,1008.6,1009.0,139.0
1999-11-02,1003.6,1006.0,991.2,992.8,115.0
1999-11-03,993.0,997.0,979.2,980.0,115.0
1999-11-04,982.0,983.8,955.0,957.0,140.0
1999-11-05,950.0,964.0,948.0,963.6,113.0
1999-11-06,965.2,965.2,900.2,925.0,152.0
1999-11-08,915.2,942.2,910.2,937.0,116.0
1999-11-09,939.0,939.0,925.0,925.0,68.0
1999-11-10,925.0,962.0,923.0,946.2,220.0
1999-11-11,959.0,959.0,940.4,952.0,109.0
1999-11-15,955.0,955.0,935.0,936.0,46.0
1999-11-16,925.0,938.0,921.2,932.2,77.0
1999-11-17,935.0,944.4,924.2,924.2,103.0
1999-11-18,938.0,947.0,930.0,940.0,120.0
1999-11-19,946.0,956.0,946.0,950.0,167.0
1999-11-20,968.0,985.0,961.0,967.0,206.0
1999-11-22,975.0,990.0,962.0,988.4,226.0
1999-11-23,994.4,1008.2,982.2,989.0,265.0
1999-11-24,978.0,987.0,951.0,951.0,203.0
1999-11-25,952.0,964.0,946.0,964.0,147.0
1999-11-26,964.0,984.2,926.4,940.8,349.0
1999-11-29,953.0,1000.4,953.0,1000.4,425.0
1999-11-30,1020.0,1029.8,994.0,999.6,612.0
1999-12-01,1000.0,1003.4,984.8,999.8,294.0
1999-12-02,991.0,1003.0,990.0,1003.0,180.0
1999-12-03,1002.6,1019.8,1002.6,1010.2,369.0
1999-12-04,1020.0,1023.0,1007.0,1008.8,329.0
1999-12-06,1010.0,1011.0,971.0,985.0,249.0
1999-12-07,986.0,987.0,968.4,969.4,164.0
1999-12-08,965.2,980.0,961.6,961.6,129.0
1999-12-09,953.6,963.0,940.0,953.0,174.0
1999-12-10,953.0,958.0,950.0,951.0,70.0
1999-12-13,951.0,961.0,951.0,956.4,80.0
1999-12-14,953.4,966.0,946.0,954.0,116.0
1999-12-15,951.0,954.0,933.2,935.0,144.0
1999-12-16,956.0,956.0,928.0,928.0,228.0
1999-12-17,928.0,935.8,917.0,930.0,143.0
1999-12-18,934.0,942.0,930.0,938.0,180.0
